OTU_ID,Short_name,Short_name,Taxonomy,Domain,Phylum,Class,Order,Family,Genus
OTU46,(o__Poseidoniales) g__MGIIb-N1,(o__Poseidoniales) g__MGIIb-N1, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-N1, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-N1
OTU47,(o__Poseidoniales) g__MGIIb-O1,(o__Poseidoniales) g__MGIIb-O1, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O1
OTU48,(o__Poseidoniales) g__MGIIb-O2,(o__Poseidoniales) g__MGIIb-O2, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O2
OTU49,(o__Poseidoniales) g__MGIIb-O3,(o__Poseidoniales) g__MGIIb-O3, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O3
OTU50,(o__Poseidoniales) unclassified,(o__Poseidoniales) unclassified, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;unclassified, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,unclassified
OTU51,(o__Poseidoniales) g__,(o__Poseidoniales) g__, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;unclassified;, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,unclassified,g__
OTU52,(unclassified) g__,(unclassified) g__, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;unclassified;, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,unclassified,,g__
OTU53,(unclassified) g__,(unclassified) g__, d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;unclassified;, d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,unclassified,,g__
OTU54,(o__) g__,(o__) g__, d__Archaea;p__Thermoplasmatota;unclassified;, d__Archaea,p__Thermoplasmatota,unclassified,o__,,g__
OTU55,(unclassified) g__,(unclassified) g__, d__Archaea;p__Thermoproteota;c__Bathyarchaeia;unclassified;, d__Archaea,p__Thermoproteota,c__Bathyarchaeia,unclassified,,g__
OTU56,(o__Nitrososphaerales) g__Nitrosarchaeum_A,(o__Nitrososphaerales) g__Nitrosarchaeum_A, d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum_A, d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosarchaeum_A
OTU57,(o__Nitrososphaerales) g__Nitrosopumilus,(o__Nitrososphaerales) g__Nitrosopumilus, d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus, d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus
