OTU10,(QMZP01);unclassified,(o__QMZP01);unclassified,d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__QMZP01; f__QMZP01; unclassified,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__QMZP01,f__QMZP01,unclassified
OTU11,(QMZP01);,(o__QMZP01);,d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__QMZP01; unclassified,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__QMZP01,unclassified,
OTU12,(unclassified);,(unclassified);,d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; unclassified,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,unclassified,,
OTU13,(IMC4);,(o__IMC4);,d__Archaea; p__Altiarchaeota; c__Altiarchaeia; o__IMC4; unclassified,d__Archaea,p__Altiarchaeota,c__Altiarchaeia,o__IMC4,unclassified,
OTU14,(unclassified);,(unclassified);,d__Archaea; p__Altiarchaeota; c__Altiarchaeia; unclassified,d__Archaea,p__Altiarchaeota,c__Altiarchaeia,unclassified,,
OTU15,(UBA460);Kariarchaeum,(o__UBA460);Kariarchaeum,d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__UBA460; f__Kariarchaeaceae; Kariarchaeum,d__Archaea,p__Asgardarchaeota,c__Heimdallarchaeia,o__UBA460,f__Kariarchaeaceae,Kariarchaeum
OTU16,(UBA460);unclassified,(o__UBA460);unclassified,d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__UBA460; f__Kariarchaeaceae; unclassified,d__Archaea,p__Asgardarchaeota,c__Heimdallarchaeia,o__UBA460,f__Kariarchaeaceae,unclassified
OTU17,(UBA460);,(o__UBA460);,d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__UBA460; unclassified,d__Archaea,p__Asgardarchaeota,c__Heimdallarchaeia,o__UBA460,unclassified,
OTU18,(unclassified);,(unclassified);,d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; unclassified,d__Archaea,p__Asgardarchaeota,c__Heimdallarchaeia,unclassified,,
OTU19,(CR-4);unclassified,(o__CR-4);unclassified,d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__CR-4; f__SOKP01; unclassified,d__Archaea,p__Asgardarchaeota,c__Lokiarchaeia,o__CR-4,f__SOKP01,unclassified
OTU20,(CR-4);,(o__CR-4);,d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__CR-4; unclassified,d__Archaea,p__Asgardarchaeota,c__Lokiarchaeia,o__CR-4,unclassified,
OTU21,(unclassified);,(unclassified);,d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; unclassified,d__Archaea,p__Asgardarchaeota,c__Lokiarchaeia,unclassified,,
OTU22,();,();,d__Archaea; p__Asgardarchaeota; unclassified,d__Archaea,p__Asgardarchaeota,unclassified,,,
OTU23,(unclassified);,(unclassified);,d__Archaea; p__B1Sed10-29; c__B1Sed10-29; unclassified,d__Archaea,p__B1Sed10-29,c__B1Sed10-29,unclassified,,
OTU24,(EX4484-52);,(o__EX4484-52);,d__Archaea; p__EX4484-52; c__EX4484-52; o__EX4484-52; unclassified,d__Archaea,p__EX4484-52,c__EX4484-52,o__EX4484-52,unclassified,
OTU25,(Archaeoglobales);unclassified,(o__Archaeoglobales);unclassified,d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; unclassified,d__Archaea,p__Halobacteriota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,unclassified
OTU26,(Archaeoglobales);,(o__Archaeoglobales);,d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__Archaeoglobales; unclassified,d__Archaea,p__Halobacteriota,c__Archaeoglobi,o__Archaeoglobales,unclassified,
OTU27,(unclassified);,(unclassified);,d__Archaea; p__Halobacteriota; c__Archaeoglobi; unclassified,d__Archaea,p__Halobacteriota,c__Archaeoglobi,unclassified,,
OTU28,(Halobacteriales);unclassified,(o__Halobacteriales);unclassified,d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Haloarculaceae; unclassified,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,unclassified
OTU29,(Halobacteriales);unclassified,(o__Halobacteriales);unclassified,d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Haloferacaceae; unclassified,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,unclassified
